"k","cluster","sample_id","item_consensus","stability"
4,1,"NEO19_Patient_19_delta",0,"Very Low (<50%)"
4,1,"NEO16_Patient_16_delta",0,"Very Low (<50%)"
4,1,"NEO21_Patient_21_delta",0,"Very Low (<50%)"
4,1,"NEO22_Patient_22_delta",0,"Very Low (<50%)"
4,1,"NEO3_Patient_3_delta",0,"Very Low (<50%)"
4,1,"NEO33_Patient_33_delta",0,"Very Low (<50%)"
4,1,"NEO34_Patient_34_delta",0,"Very Low (<50%)"
4,1,"NEO46_Patient_46_delta",0,"Very Low (<50%)"
4,1,"NEO47_Patient_47_delta",0,"Very Low (<50%)"
4,1,"NEO51_Patient_51_delta",0,"Very Low (<50%)"
4,1,"NEO15_Patient_15_delta",1,"Very High (>=87.5%)"
4,1,"NEO11_Patient_11_delta",1,"Very High (>=87.5%)"
4,1,"NEO18_Patient_18_delta",0.00679683125557234,"Very Low (<50%)"
4,1,"NEO27_Patient_27_delta",1,"Very High (>=87.5%)"
4,1,"NEO42_Patient_42_delta",0.016786326912899,"Very Low (<50%)"
4,1,"NEO43_Patient_43_delta",1,"Very High (>=87.5%)"
4,1,"NEO45_Patient_45_delta",0.00588753723349385,"Very Low (<50%)"
4,1,"NEO49_Patient_49_delta",1,"Very High (>=87.5%)"
4,1,"NEO8_Patient_8_delta",0.0187144544599258,"Very Low (<50%)"
4,2,"NEO19_Patient_19_delta",0,"Very Low (<50%)"
4,2,"NEO16_Patient_16_delta",0.998157956013012,"Very High (>=87.5%)"
4,2,"NEO21_Patient_21_delta",0.99708672329921,"Very High (>=87.5%)"
4,2,"NEO22_Patient_22_delta",0.996882427826579,"Very High (>=87.5%)"
4,2,"NEO3_Patient_3_delta",0.0386560396459721,"Very Low (<50%)"
4,2,"NEO33_Patient_33_delta",0.996622569295868,"Very High (>=87.5%)"
4,2,"NEO34_Patient_34_delta",0.994982539495604,"Very High (>=87.5%)"
4,2,"NEO46_Patient_46_delta",0.000281426927456082,"Very Low (<50%)"
4,2,"NEO47_Patient_47_delta",0.996822542505372,"Very High (>=87.5%)"
4,2,"NEO51_Patient_51_delta",0.994273767418413,"Very High (>=87.5%)"
4,2,"NEO15_Patient_15_delta",0,"Very Low (<50%)"
4,2,"NEO11_Patient_11_delta",0,"Very Low (<50%)"
4,2,"NEO18_Patient_18_delta",0,"Very Low (<50%)"
4,2,"NEO27_Patient_27_delta",0,"Very Low (<50%)"
4,2,"NEO42_Patient_42_delta",0,"Very Low (<50%)"
4,2,"NEO43_Patient_43_delta",0,"Very Low (<50%)"
4,2,"NEO45_Patient_45_delta",0,"Very Low (<50%)"
4,2,"NEO49_Patient_49_delta",0,"Very Low (<50%)"
4,2,"NEO8_Patient_8_delta",0,"Very Low (<50%)"
4,3,"NEO19_Patient_19_delta",0,"Very Low (<50%)"
4,3,"NEO16_Patient_16_delta",0,"Very Low (<50%)"
4,3,"NEO21_Patient_21_delta",0,"Very Low (<50%)"
4,3,"NEO22_Patient_22_delta",0,"Very Low (<50%)"
4,3,"NEO3_Patient_3_delta",0,"Very Low (<50%)"
4,3,"NEO33_Patient_33_delta",0,"Very Low (<50%)"
4,3,"NEO34_Patient_34_delta",0,"Very Low (<50%)"
4,3,"NEO46_Patient_46_delta",0,"Very Low (<50%)"
4,3,"NEO47_Patient_47_delta",0,"Very Low (<50%)"
4,3,"NEO51_Patient_51_delta",0,"Very Low (<50%)"
4,3,"NEO15_Patient_15_delta",0.00693594372231166,"Very Low (<50%)"
4,3,"NEO11_Patient_11_delta",0.0137208744930285,"Very Low (<50%)"
4,3,"NEO18_Patient_18_delta",1,"Very High (>=87.5%)"
4,3,"NEO27_Patient_27_delta",0.0133321881508107,"Very Low (<50%)"
4,3,"NEO42_Patient_42_delta",1,"Very High (>=87.5%)"
4,3,"NEO43_Patient_43_delta",0.00689714776252679,"Very Low (<50%)"
4,3,"NEO45_Patient_45_delta",1,"Very High (>=87.5%)"
4,3,"NEO49_Patient_49_delta",0.0193452831986862,"Very Low (<50%)"
4,3,"NEO8_Patient_8_delta",1,"Very High (>=87.5%)"
4,4,"NEO19_Patient_19_delta",0.935400209213329,"Very High (>=87.5%)"
4,4,"NEO16_Patient_16_delta",0.00406934133672195,"Very Low (<50%)"
4,4,"NEO21_Patient_21_delta",0.0142841565805256,"Very Low (<50%)"
4,4,"NEO22_Patient_22_delta",0.0129207383279045,"Very Low (<50%)"
4,4,"NEO3_Patient_3_delta",0.955119896305898,"Very High (>=87.5%)"
4,4,"NEO33_Patient_33_delta",0.0101973684210526,"Very Low (<50%)"
4,4,"NEO34_Patient_34_delta",0.0173976253766478,"Very Low (<50%)"
4,4,"NEO46_Patient_46_delta",0.980280312907432,"Very High (>=87.5%)"
4,4,"NEO47_Patient_47_delta",0.0129912309191296,"Very Low (<50%)"
4,4,"NEO51_Patient_51_delta",0.0189936277093505,"Very Low (<50%)"
4,4,"NEO15_Patient_15_delta",0,"Very Low (<50%)"
4,4,"NEO11_Patient_11_delta",0,"Very Low (<50%)"
4,4,"NEO18_Patient_18_delta",0,"Very Low (<50%)"
4,4,"NEO27_Patient_27_delta",0,"Very Low (<50%)"
4,4,"NEO42_Patient_42_delta",0,"Very Low (<50%)"
4,4,"NEO43_Patient_43_delta",0,"Very Low (<50%)"
4,4,"NEO45_Patient_45_delta",0,"Very Low (<50%)"
4,4,"NEO49_Patient_49_delta",0,"Very Low (<50%)"
4,4,"NEO8_Patient_8_delta",0,"Very Low (<50%)"
