"k","cluster","sample_id","item_consensus","stability"
3,1,"2472_delta",0,"Very Low (<50%)"
3,1,"2271_delta",0,"Very Low (<50%)"
3,1,"2653_delta",0,"Very Low (<50%)"
3,1,"2661_delta",0,"Very Low (<50%)"
3,1,"2677_delta",0,"Very Low (<50%)"
3,1,"2739_delta",0,"Very Low (<50%)"
3,1,"2789_delta",0,"Very Low (<50%)"
3,1,"2817_delta",0,"Very Low (<50%)"
3,1,"2852_delta",0,"Very Low (<50%)"
3,1,"2976_delta",0,"Very Low (<50%)"
3,1,"3001_delta",0,"Very Low (<50%)"
3,1,"3036_delta",0,"Very Low (<50%)"
3,1,"3065_delta",0,"Very Low (<50%)"
3,1,"3067_delta",0,"Very Low (<50%)"
3,1,"3130_delta",0,"Very Low (<50%)"
3,1,"3161_delta",0,"Very Low (<50%)"
3,1,"97_delta",0,"Very Low (<50%)"
3,1,"OB_0139_delta",0,"Very Low (<50%)"
3,1,"OB_0235_delta",0,"Very Low (<50%)"
3,1,"OB_0080_delta",0,"Very Low (<50%)"
3,1,"OB_0163_delta",0,"Very Low (<50%)"
3,1,"OB_0168_delta",0,"Very Low (<50%)"
3,1,"OB_0315_delta",0,"Very Low (<50%)"
3,1,"OB_0001_delta",0,"Very Low (<50%)"
3,1,"OB_0038_delta",0,"Very Low (<50%)"
3,1,"2492_delta",1,"Very High (>=87.5%)"
3,1,"2046_delta",1,"Very High (>=87.5%)"
3,1,"2691_delta",1,"Very High (>=87.5%)"
3,1,"OB_0157_delta",1,"Very High (>=87.5%)"
3,1,"OB_0190_delta",1,"Very High (>=87.5%)"
3,1,"OB_0261_delta",1,"Very High (>=87.5%)"
3,1,"OB_0273_delta",1,"Very High (>=87.5%)"
3,1,"OB_0237_delta",1,"Very High (>=87.5%)"
3,1,"OB_0095_delta",1,"Very High (>=87.5%)"
3,1,"OB_0344_delta",1,"Very High (>=87.5%)"
3,1,"OB_0234_delta",1,"Very High (>=87.5%)"
3,2,"2472_delta",0.0217405839048884,"Very Low (<50%)"
3,2,"2271_delta",0.980663325190838,"Very High (>=87.5%)"
3,2,"2653_delta",0.92570781017418,"Very High (>=87.5%)"
3,2,"2661_delta",0.138672302806103,"Very Low (<50%)"
3,2,"2677_delta",0.0205247896122169,"Very Low (<50%)"
3,2,"2739_delta",0.976683755757285,"Very High (>=87.5%)"
3,2,"2789_delta",0.978195988821176,"Very High (>=87.5%)"
3,2,"2817_delta",0.0632697503808342,"Very Low (<50%)"
3,2,"2852_delta",0.0145063427277799,"Very Low (<50%)"
3,2,"2976_delta",0.978997342031519,"Very High (>=87.5%)"
3,2,"3001_delta",0.0188805805755929,"Very Low (<50%)"
3,2,"3036_delta",0.923011313830034,"Very High (>=87.5%)"
3,2,"3065_delta",0.0621351449820099,"Very Low (<50%)"
3,2,"3067_delta",0.316813750161511,"Very Low (<50%)"
3,2,"3130_delta",0.0163704282458119,"Very Low (<50%)"
3,2,"3161_delta",0.0119882998946673,"Very Low (<50%)"
3,2,"97_delta",0.0573617483530501,"Very Low (<50%)"
3,2,"OB_0139_delta",0.978787912846898,"Very High (>=87.5%)"
3,2,"OB_0235_delta",0.977332991467378,"Very High (>=87.5%)"
3,2,"OB_0080_delta",0.0206254584745092,"Very Low (<50%)"
3,2,"OB_0163_delta",0.97894399283483,"Very High (>=87.5%)"
3,2,"OB_0168_delta",0.982331998065091,"Very High (>=87.5%)"
3,2,"OB_0315_delta",0.0209502487763383,"Very Low (<50%)"
3,2,"OB_0001_delta",0.0204430177978983,"Very Low (<50%)"
3,2,"OB_0038_delta",0.977841846510848,"Very High (>=87.5%)"
3,2,"2492_delta",0,"Very Low (<50%)"
3,2,"2046_delta",0,"Very Low (<50%)"
3,2,"2691_delta",0,"Very Low (<50%)"
3,2,"OB_0157_delta",0,"Very Low (<50%)"
3,2,"OB_0190_delta",0,"Very Low (<50%)"
3,2,"OB_0261_delta",0,"Very Low (<50%)"
3,2,"OB_0273_delta",0,"Very Low (<50%)"
3,2,"OB_0237_delta",0,"Very Low (<50%)"
3,2,"OB_0095_delta",0,"Very Low (<50%)"
3,2,"OB_0344_delta",0,"Very Low (<50%)"
3,2,"OB_0234_delta",0,"Very Low (<50%)"
3,3,"2472_delta",0.946517529975394,"Very High (>=87.5%)"
3,3,"2271_delta",0.0515311378600408,"Very Low (<50%)"
3,3,"2653_delta",0.100120484932099,"Very Low (<50%)"
3,3,"2661_delta",0.885256613435026,"Very High (>=87.5%)"
3,3,"2677_delta",0.942552251926636,"Very High (>=87.5%)"
3,3,"2739_delta",0.0523800024592729,"Very Low (<50%)"
3,3,"2789_delta",0.0492677921610708,"Very Low (<50%)"
3,3,"2817_delta",0.936800361484055,"Very High (>=87.5%)"
3,3,"2852_delta",0.950469830818551,"Very High (>=87.5%)"
3,3,"2976_delta",0.0453195299890399,"Very Low (<50%)"
3,3,"3001_delta",0.946901995961676,"Very High (>=87.5%)"
3,3,"3036_delta",0.112770767956379,"Very Low (<50%)"
3,3,"3065_delta",0.940023788446416,"Very High (>=87.5%)"
3,3,"3067_delta",0.715496774474255,"Moderate (62.5-75%)"
3,3,"3130_delta",0.951551239230339,"Very High (>=87.5%)"
3,3,"3161_delta",0.950903454855445,"Very High (>=87.5%)"
3,3,"97_delta",0.941728032040549,"Very High (>=87.5%)"
3,3,"OB_0139_delta",0.041509165159053,"Very Low (<50%)"
3,3,"OB_0235_delta",0.0522524341129854,"Very Low (<50%)"
3,3,"OB_0080_delta",0.958807820779843,"Very High (>=87.5%)"
3,3,"OB_0163_delta",0.0374006548276341,"Very Low (<50%)"
3,3,"OB_0168_delta",0.0436292294836372,"Very Low (<50%)"
3,3,"OB_0315_delta",0.944410058428022,"Very High (>=87.5%)"
3,3,"OB_0001_delta",0.945661990552777,"Very High (>=87.5%)"
3,3,"OB_0038_delta",0.0457550091748822,"Very Low (<50%)"
3,3,"2492_delta",0,"Very Low (<50%)"
3,3,"2046_delta",0,"Very Low (<50%)"
3,3,"2691_delta",0,"Very Low (<50%)"
3,3,"OB_0157_delta",0,"Very Low (<50%)"
