"k","cluster","sample_id","item_consensus","stability"
5,1,"2472_delta",0,"Very Low (<50%)"
5,1,"2271_delta",0,"Very Low (<50%)"
5,1,"2653_delta",0,"Very Low (<50%)"
5,1,"2661_delta",0,"Very Low (<50%)"
5,1,"2677_delta",0,"Very Low (<50%)"
5,1,"2739_delta",0,"Very Low (<50%)"
5,1,"2789_delta",0,"Very Low (<50%)"
5,1,"2817_delta",0,"Very Low (<50%)"
5,1,"2852_delta",0,"Very Low (<50%)"
5,1,"2976_delta",0,"Very Low (<50%)"
5,1,"3001_delta",0,"Very Low (<50%)"
5,1,"3036_delta",0,"Very Low (<50%)"
5,1,"3065_delta",0,"Very Low (<50%)"
5,1,"3067_delta",0,"Very Low (<50%)"
5,1,"3130_delta",0,"Very Low (<50%)"
5,1,"3161_delta",0,"Very Low (<50%)"
5,1,"97_delta",0,"Very Low (<50%)"
5,1,"OB_0139_delta",0,"Very Low (<50%)"
5,1,"OB_0235_delta",0,"Very Low (<50%)"
5,1,"OB_0080_delta",0,"Very Low (<50%)"
5,1,"OB_0163_delta",0,"Very Low (<50%)"
5,1,"OB_0168_delta",0,"Very Low (<50%)"
5,1,"OB_0315_delta",0,"Very Low (<50%)"
5,1,"OB_0001_delta",0,"Very Low (<50%)"
5,1,"OB_0038_delta",0,"Very Low (<50%)"
5,1,"2492_delta",1,"Very High (>=87.5%)"
5,1,"2046_delta",1,"Very High (>=87.5%)"
5,1,"2691_delta",1,"Very High (>=87.5%)"
5,1,"OB_0157_delta",1,"Very High (>=87.5%)"
5,1,"OB_0190_delta",1,"Very High (>=87.5%)"
5,1,"OB_0261_delta",1,"Very High (>=87.5%)"
5,1,"OB_0273_delta",1,"Very High (>=87.5%)"
5,1,"OB_0237_delta",1,"Very High (>=87.5%)"
5,1,"OB_0095_delta",1,"Very High (>=87.5%)"
5,1,"OB_0344_delta",1,"Very High (>=87.5%)"
5,1,"OB_0234_delta",1,"Very High (>=87.5%)"
5,2,"2472_delta",0,"Very Low (<50%)"
5,2,"2271_delta",0.936725954260134,"Very High (>=87.5%)"
5,2,"2653_delta",0.922262631176245,"Very High (>=87.5%)"
5,2,"2661_delta",0,"Very Low (<50%)"
5,2,"2677_delta",0,"Very Low (<50%)"
5,2,"2739_delta",0.145460891473681,"Very Low (<50%)"
5,2,"2789_delta",0.141448126712826,"Very Low (<50%)"
5,2,"2817_delta",0,"Very Low (<50%)"
5,2,"2852_delta",0,"Very Low (<50%)"
5,2,"2976_delta",0.154126243218195,"Very Low (<50%)"
5,2,"3001_delta",0,"Very Low (<50%)"
5,2,"3036_delta",0.20872911498524,"Very Low (<50%)"
5,2,"3065_delta",0,"Very Low (<50%)"
5,2,"3067_delta",0,"Very Low (<50%)"
5,2,"3130_delta",0,"Very Low (<50%)"
5,2,"3161_delta",0,"Very Low (<50%)"
5,2,"97_delta",0,"Very Low (<50%)"
5,2,"OB_0139_delta",0.86268566622987,"High (75-87.5%)"
5,2,"OB_0235_delta",0.151012849461568,"Very Low (<50%)"
5,2,"OB_0080_delta",0,"Very Low (<50%)"
5,2,"OB_0163_delta",0.99630291920651,"Very High (>=87.5%)"
5,2,"OB_0168_delta",0.154839236260703,"Very Low (<50%)"
5,2,"OB_0315_delta",0,"Very Low (<50%)"
5,2,"OB_0001_delta",0,"Very Low (<50%)"
5,2,"OB_0038_delta",0.152107609516078,"Very Low (<50%)"
5,2,"2492_delta",0,"Very Low (<50%)"
5,2,"2046_delta",0,"Very Low (<50%)"
5,2,"2691_delta",0,"Very Low (<50%)"
5,2,"OB_0157_delta",0,"Very Low (<50%)"
5,2,"OB_0190_delta",0,"Very Low (<50%)"
5,2,"OB_0261_delta",0,"Very Low (<50%)"
5,2,"OB_0273_delta",0,"Very Low (<50%)"
5,2,"OB_0237_delta",0,"Very Low (<50%)"
5,2,"OB_0095_delta",0,"Very Low (<50%)"
5,2,"OB_0344_delta",0,"Very Low (<50%)"
5,2,"OB_0234_delta",0,"Very Low (<50%)"
5,3,"2472_delta",0.807384650952047,"High (75-87.5%)"
5,3,"2271_delta",0,"Very Low (<50%)"
5,3,"2653_delta",0,"Very Low (<50%)"
5,3,"2661_delta",0.106485251252107,"Very Low (<50%)"
5,3,"2677_delta",0.788407220334856,"High (75-87.5%)"
5,3,"2739_delta",0,"Very Low (<50%)"
5,3,"2789_delta",0,"Very Low (<50%)"
5,3,"2817_delta",0.0849575836370369,"Very Low (<50%)"
5,3,"2852_delta",0.763026621455569,"High (75-87.5%)"
5,3,"2976_delta",0,"Very Low (<50%)"
5,3,"3001_delta",0.854987520718355,"High (75-87.5%)"
5,3,"3036_delta",0,"Very Low (<50%)"
5,3,"3065_delta",0.139698847030352,"Very Low (<50%)"
5,3,"3067_delta",0.110409423192828,"Very Low (<50%)"
5,3,"3130_delta",0.844448023152493,"High (75-87.5%)"
5,3,"3161_delta",0.771677259725826,"High (75-87.5%)"
5,3,"97_delta",0.130415723516979,"Very Low (<50%)"
5,3,"OB_0139_delta",0,"Very Low (<50%)"
5,3,"OB_0235_delta",0,"Very Low (<50%)"
5,3,"OB_0080_delta",0.143872400741277,"Very Low (<50%)"
5,3,"OB_0163_delta",0,"Very Low (<50%)"
5,3,"OB_0168_delta",0,"Very Low (<50%)"
5,3,"OB_0315_delta",0.816462828940786,"High (75-87.5%)"
5,3,"OB_0001_delta",0.836946826142621,"High (75-87.5%)"
5,3,"OB_0038_delta",0,"Very Low (<50%)"
5,3,"2492_delta",0,"Very Low (<50%)"
5,3,"2046_delta",0,"Very Low (<50%)"
5,3,"2691_delta",0,"Very Low (<50%)"
5,3,"OB_0157_delta",0,"Very Low (<50%)"
5,3,"OB_0190_delta",0,"Very Low (<50%)"
5,3,"OB_0261_delta",0,"Very Low (<50%)"
5,3,"OB_0273_delta",0,"Very Low (<50%)"
5,3,"OB_0237_delta",0,"Very Low (<50%)"
5,3,"OB_0095_delta",0,"Very Low (<50%)"
5,3,"OB_0344_delta",0,"Very Low (<50%)"
5,3,"OB_0234_delta",0,"Very Low (<50%)"
5,4,"2472_delta",0.00251484961446509,"Very Low (<50%)"
5,4,"2271_delta",0,"Very Low (<50%)"
5,4,"2653_delta",0,"Very Low (<50%)"
5,4,"2661_delta",0.853429187264175,"High (75-87.5%)"
5,4,"2677_delta",0.000783998649936512,"Very Low (<50%)"
5,4,"2739_delta",0,"Very Low (<50%)"
5,4,"2789_delta",0,"Very Low (<50%)"
5,4,"2817_delta",0.932911563412743,"Very High (>=87.5%)"
5,4,"2852_delta",0.303607686014483,"Very Low (<50%)"
5,4,"2976_delta",0,"Very Low (<50%)"
5,4,"3001_delta",0.161106229080088,"Very Low (<50%)"
5,4,"3036_delta",0,"Very Low (<50%)"
5,4,"3065_delta",0.926277899126547,"Very High (>=87.5%)"
5,4,"3067_delta",0.847390080975762,"High (75-87.5%)"
5,4,"3130_delta",0.188433731404663,"Very Low (<50%)"
5,4,"3161_delta",0.291920749284999,"Very Low (<50%)"
5,4,"97_delta",0.923552369118538,"Very High (>=87.5%)"
5,4,"OB_0139_delta",0,"Very Low (<50%)"
5,4,"OB_0235_delta",0,"Very Low (<50%)"
5,4,"OB_0080_delta",0.91807743658211,"Very High (>=87.5%)"
5,4,"OB_0163_delta",0,"Very Low (<50%)"
5,4,"OB_0168_delta",0,"Very Low (<50%)"
5,4,"OB_0315_delta",0.00236191463529024,"Very Low (<50%)"
5,4,"OB_0001_delta",0.00372314714351486,"Very Low (<50%)"
5,4,"OB_0038_delta",0,"Very Low (<50%)"
5,4,"2492_delta",0,"Very Low (<50%)"
