"k","cluster","sample_id","item_consensus","stability"
3,1,"2472_delta",0,"Very Low (<50%)"
3,1,"2271_delta",0,"Very Low (<50%)"
3,1,"2653_delta",0,"Very Low (<50%)"
3,1,"2661_delta",0,"Very Low (<50%)"
3,1,"2677_delta",0,"Very Low (<50%)"
3,1,"2739_delta",0,"Very Low (<50%)"
3,1,"2789_delta",0,"Very Low (<50%)"
3,1,"2817_delta",0,"Very Low (<50%)"
3,1,"2852_delta",0,"Very Low (<50%)"
3,1,"2976_delta",0,"Very Low (<50%)"
3,1,"3001_delta",0,"Very Low (<50%)"
3,1,"3036_delta",0,"Very Low (<50%)"
3,1,"3065_delta",0,"Very Low (<50%)"
3,1,"3067_delta",0,"Very Low (<50%)"
3,1,"3130_delta",0,"Very Low (<50%)"
3,1,"3161_delta",0,"Very Low (<50%)"
3,1,"97_delta",0,"Very Low (<50%)"
3,1,"OB_0139_delta",0,"Very Low (<50%)"
3,1,"OB_0235_delta",0,"Very Low (<50%)"
3,1,"OB_0080_delta",0,"Very Low (<50%)"
3,1,"OB_0163_delta",0,"Very Low (<50%)"
3,1,"OB_0168_delta",0,"Very Low (<50%)"
3,1,"OB_0315_delta",0,"Very Low (<50%)"
3,1,"OB_0001_delta",0,"Very Low (<50%)"
3,1,"OB_0038_delta",0,"Very Low (<50%)"
3,1,"2492_delta",1,"Very High (>=87.5%)"
3,1,"2046_delta",1,"Very High (>=87.5%)"
3,1,"2691_delta",1,"Very High (>=87.5%)"
3,1,"OB_0157_delta",1,"Very High (>=87.5%)"
3,1,"OB_0190_delta",1,"Very High (>=87.5%)"
3,1,"OB_0261_delta",1,"Very High (>=87.5%)"
3,1,"OB_0273_delta",1,"Very High (>=87.5%)"
3,1,"OB_0237_delta",1,"Very High (>=87.5%)"
3,1,"OB_0095_delta",1,"Very High (>=87.5%)"
3,1,"OB_0344_delta",1,"Very High (>=87.5%)"
3,1,"OB_0234_delta",1,"Very High (>=87.5%)"
3,2,"2472_delta",0,"Very Low (<50%)"
3,2,"2271_delta",1,"Very High (>=87.5%)"
3,2,"2653_delta",1,"Very High (>=87.5%)"
3,2,"2661_delta",0,"Very Low (<50%)"
3,2,"2677_delta",0,"Very Low (<50%)"
3,2,"2739_delta",1,"Very High (>=87.5%)"
3,2,"2789_delta",1,"Very High (>=87.5%)"
3,2,"2817_delta",0,"Very Low (<50%)"
3,2,"2852_delta",0,"Very Low (<50%)"
3,2,"2976_delta",1,"Very High (>=87.5%)"
3,2,"3001_delta",0,"Very Low (<50%)"
3,2,"3036_delta",1,"Very High (>=87.5%)"
3,2,"3065_delta",0,"Very Low (<50%)"
3,2,"3067_delta",0,"Very Low (<50%)"
3,2,"3130_delta",0,"Very Low (<50%)"
3,2,"3161_delta",0,"Very Low (<50%)"
3,2,"97_delta",0,"Very Low (<50%)"
3,2,"OB_0139_delta",1,"Very High (>=87.5%)"
3,2,"OB_0235_delta",1,"Very High (>=87.5%)"
3,2,"OB_0080_delta",0,"Very Low (<50%)"
3,2,"OB_0163_delta",1,"Very High (>=87.5%)"
3,2,"OB_0168_delta",1,"Very High (>=87.5%)"
3,2,"OB_0315_delta",0,"Very Low (<50%)"
3,2,"OB_0001_delta",0,"Very Low (<50%)"
3,2,"OB_0038_delta",1,"Very High (>=87.5%)"
3,2,"2492_delta",0,"Very Low (<50%)"
3,2,"2046_delta",0,"Very Low (<50%)"
3,2,"2691_delta",0,"Very Low (<50%)"
3,2,"OB_0157_delta",0,"Very Low (<50%)"
3,2,"OB_0190_delta",0,"Very Low (<50%)"
3,2,"OB_0261_delta",0,"Very Low (<50%)"
3,2,"OB_0273_delta",0,"Very Low (<50%)"
3,2,"OB_0237_delta",0,"Very Low (<50%)"
3,2,"OB_0095_delta",0,"Very Low (<50%)"
3,2,"OB_0344_delta",0,"Very Low (<50%)"
3,2,"OB_0234_delta",0,"Very Low (<50%)"
3,3,"2472_delta",1,"Very High (>=87.5%)"
3,3,"2271_delta",0,"Very Low (<50%)"
3,3,"2653_delta",0,"Very Low (<50%)"
3,3,"2661_delta",1,"Very High (>=87.5%)"
3,3,"2677_delta",1,"Very High (>=87.5%)"
3,3,"2739_delta",0,"Very Low (<50%)"
3,3,"2789_delta",0,"Very Low (<50%)"
3,3,"2817_delta",1,"Very High (>=87.5%)"
3,3,"2852_delta",1,"Very High (>=87.5%)"
3,3,"2976_delta",0,"Very Low (<50%)"
3,3,"3001_delta",1,"Very High (>=87.5%)"
3,3,"3036_delta",0,"Very Low (<50%)"
3,3,"3065_delta",1,"Very High (>=87.5%)"
3,3,"3067_delta",1,"Very High (>=87.5%)"
3,3,"3130_delta",1,"Very High (>=87.5%)"
3,3,"3161_delta",1,"Very High (>=87.5%)"
3,3,"97_delta",1,"Very High (>=87.5%)"
3,3,"OB_0139_delta",0,"Very Low (<50%)"
3,3,"OB_0235_delta",0,"Very Low (<50%)"
3,3,"OB_0080_delta",1,"Very High (>=87.5%)"
3,3,"OB_0163_delta",0,"Very Low (<50%)"
3,3,"OB_0168_delta",0,"Very Low (<50%)"
3,3,"OB_0315_delta",1,"Very High (>=87.5%)"
3,3,"OB_0001_delta",1,"Very High (>=87.5%)"
3,3,"OB_0038_delta",0,"Very Low (<50%)"
3,3,"2492_delta",0,"Very Low (<50%)"
3,3,"2046_delta",0,"Very Low (<50%)"
3,3,"2691_delta",0,"Very Low (<50%)"
3,3,"OB_0157_delta",0,"Very Low (<50%)"
3,3,"OB_0190_delta",0,"Very Low (<50%)"
3,3,"OB_0261_delta",0,"Very Low (<50%)"
3,3,"OB_0273_delta",0,"Very Low (<50%)"
3,3,"OB_0237_delta",0,"Very Low (<50%)"
3,3,"OB_0095_delta",0,"Very Low (<50%)"
3,3,"OB_0344_delta",0,"Very Low (<50%)"
3,3,"OB_0234_delta",0,"Very Low (<50%)"
