"dataset","Patient_ID","Timepoint","cluster","Cell_Type","n_subtypes","original_subtypes"
"NKI","2046","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2046","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2271","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2271","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2472","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2472","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2492","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2492","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2653","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2653","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2661","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2661","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2677","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2677","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2691","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2691","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2739","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2739","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2789","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2789","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2817","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2817","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2852","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2852","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2976","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2976","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3001","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3001","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","3036","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
