"sample_id","comparison","rho","p_value","abs_rho","padj"
"2046","Delta vs Pre",0.332972800379128,8.16581994547897e-81,0.332972800379128,7.34923795093107e-80
"2271","Delta vs Pre",-0.107442692262514,2.1703956123662e-09,0.107442692262514,3.55155645659924e-09
"2472","Delta vs Pre",0.066408215128008,0.000222257924250099,0.066408215128008,0.000285760188321556
"2492","Delta vs Pre",0.0664658712827798,0.000219466013976759,0.0664658712827798,0.000285760188321556
"2653","Delta vs Pre",0.0632784797791549,0.000434970631705259,0.0632784797791549,0.000539963542806529
"2661","Delta vs Pre",-0.168665016626712,3.9087089606242e-21,0.168665016626712,8.27726603426301e-21
"2677","Delta vs Pre",0.229721421657774,2.98361630972766e-38,0.229721421657774,8.26232208847659e-38
"2691","Delta vs Pre",0.0299226236102569,0.0964680513688606,0.0299226236102569,0.105237874220575
"2739","Delta vs Pre",-0.39046299285889,5.63595476059693e-113,0.39046299285889,6.76314571271632e-112
"2789","Delta vs Pre",-0.322105738121446,1.85562440556829e-75,0.322105738121446,1.33604957200917e-74
"2817","Delta vs Pre",-0.444491063572082,1.1349054039459e-149,0.444491063572082,2.04282972710262e-148
"2852","Delta vs Pre",-0.0864152968551509,1.52178754701662e-06,0.0864152968551509,2.28268132052494e-06
"2976","Delta vs Pre",-0.292602092483654,5.37545070631657e-62,0.292602092483654,2.41895281784246e-61
"3001","Delta vs Pre",-0.0919800461011073,3.06723925364669e-07,0.0919800461011073,4.80089622309917e-07
"3036","Delta vs Pre",-0.180802654742052,4.2789713480043e-24,0.180802654742052,9.62768553300967e-24
"3065","Delta vs Pre",-0.261961493356741,1.29615190790167e-49,0.261961493356741,5.1846076316067e-49
"3067","Delta vs Pre",-0.32015346892268,1.61308425892936e-74,0.32015346892268,9.67850555357614e-74
"3130","Delta vs Pre",-0.00347820378219886,0.846822681404367,0.00347820378219886,0.846822681404367
"3161","Delta vs Pre",0.137489328437018,1.68831912068476e-14,0.137489328437018,3.37663824136952e-14
"97","Delta vs Pre",-0.0728147711926104,5.13529012386297e-05,0.0728147711926104,7.11040170996411e-05
"OB_0139","Delta vs Pre",-0.209551775923685,5.63602163394516e-32,0.209551775923685,1.35264519214684e-31
"OB_0157","Delta vs Pre",0.082745131553408,4.15613807832848e-06,0.082745131553408,5.98483883279302e-06
"OB_0190","Delta vs Pre",-0.0377335587308083,0.0360464268145253,0.0377335587308083,0.0418603666233197
"OB_0235","Delta vs Pre",-0.294847993008307,5.75215440335673e-63,0.294847993008307,2.95825083601203e-62
"OB_0261","Delta vs Pre",0.130196978449968,3.81847378755158e-13,0.130196978449968,7.23500296588721e-13
"OB_0273","Delta vs Pre",-0.110751347608884,6.83213704081469e-10,0.110751347608884,1.17122349271109e-09
"OB_0237","Delta vs Pre",0.113914405288648,2.19155026373983e-10,0.113914405288648,3.94479047473169e-10
"OB_0080","Delta vs Pre",0.0356347390938526,0.0477349229574274,0.0356347390938526,0.0537017883271058
"OB_0095","Delta vs Pre",0.234429574705485,8.2940131485993e-40,0.234429574705485,2.71440430317795e-39
"OB_0163","Delta vs Pre",-0.536880714420515,4.47453248185631e-230,0.536880714420515,1.61083169346827e-228
"OB_0168","Delta vs Pre",-0.233005731380617,2.47170323633414e-39,0.233005731380617,7.41510970900243e-39
"OB_0315","Delta vs Pre",0.0111959841593648,0.534056853632625,0.0111959841593648,0.549315620879271
"OB_0344","Delta vs Pre",0.0443887754552985,0.0136443874809403,0.0443887754552985,0.0163732649771283
"OB_0001","Delta vs Pre",-0.252629243936687,3.74512820071698e-46,0.252629243936687,1.34824615225811e-45
"OB_0038","Delta vs Pre",-0.229553865170758,3.38436902295667e-38,0.229553865170758,8.70266320188859e-38
"OB_0234","Delta vs Pre",-0.0146755122573676,0.415017055966927,0.0146755122573676,0.439429823964981
